PCE,VOC,JSC,FF
2.6,643.0,5.5,0.67
2.7,570.0,7.6,0.63
3.2,580.0,8.1,0.68
4.0,660.0,9.4,0.65
4.45,756.0,9.54,0.62
2.45,649.0,5.6,0.674
2.44,615.0,5.77,0.687
2.7,617.0,6.24,0.702
2.24,664.0,4.72,0.715
2.44,636.0,5.73,0.674
2.7,642.0,5.96,0.705
2.23,523.0,7.03,0.605
5.38,673.0,12.11,0.66
1.39,545.0,3.6,0.71
2.86,636.0,7.37,0.61
3.41,545.0,8.8,0.71
3.01,689.0,5.71,0.65
1.73,597.0,3.88,0.63
0.63,614.0,1.5,0.58
1.95,565.1,4.62,0.745
1.33,587.0,2.91,0.781
0.62,573.0,1.39,0.781
0.83,488.7,2.45,0.69
2.03,598.3,4.53,0.751
0.61,523.2,1.61,0.731
6.65,720.0,12.86,0.72
2.49,560.0,7.46,0.6
5.75,730.0,11.72,0.67
4.1,640.0,9.2,0.66
1.37,480.0,4.6,0.62
2.04,542.0,5.88,0.64
1.51,485.0,5.28,0.62
