VOC,JSC,FF,PCE,Electrolyte,Semiconductor,Active area,Dye loading,Co-adsorbent,Co-sensitizer,Has_Coadsorbent,Has_Cosensitizer
688.0,9.27,0.65,4.13,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,5 mM CDCA,-,1,0
620.0,11.77,0.68,4.96,"0.5 M LiI, 0.05 M I2, and 0.1 M 4-tert-butylpyridine in 1:1 acetonitrile-propylene carbonate",TiO2 film,,-,-,-,0,0
673.0,9.33,0.65,4.07,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,10 mM CDCA,-,1,0
692.0,10.65,0.6,4.44,"0.1 M lithium iodide, 0.6 M butyl-methylimidazolium iodide (BMII), 0.05 M I2 and 0.5 M 4-tert-butylpyridine (4-TBP) in the mixed solvent of acetonitrile and 3-methoxypropionitrile (7:3, v/v)",TiO2 13 um thick,0.28,-,20 mM CDCA,-,1,0
680.0,6.8,0.72,3.33,"0.5 M LiI, 0.05 M I2, and 0.5 M 4-tert-butylpytidine (TPB) in 3-methoxypropionitrile",TiO2 film (10 um thick + 4 um scattering layer),,-,-,-,0,0
432.0,12.0,0.69,3.58,"0.6 M 1-methyl-3-propylimidazolium iodide (MPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile",TiO2 film (12 um thick + 4 um scattering layer),0.25,-,-,-,0,0
462.0,14.19,0.64,4.2,"0.6 M 1-methyl-3-propylimidazolium iodide (MPImI), 0.1 M LiI, 0.05 M I2, and 0.5 M tert-butylpyridine in acetonitrile",TiO2 film (12 um thick + 4 um scattering layer),0.25,-,-,-,0,0
762.0,10.6,0.75,6.1,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M iodine, 0.1 M guanidinium thiocyanate, 0.5 M tert-butylpyridine, 0.05 M lithium iodide in acetonitrile and valeronitrile (85:15, v/v)",TiO2 film (6 um thick + 6 um scattering layer),0.16,-,5 mM CDCA,-,1,0
619.0,14.3,0.587,5.19,"1,2-dimethyl-3-propylimidazolium iodide (0.6 M), I 2 (0.05 M), LiI (0.1 M), and 4-t-butylpyridine (0.05 M) in 3-methoxypropionitrile",TiO2 film (8 um transparent + 5 um scat­tering layer),0.2,0.625 nmol/cm2,-,-,0,0
610.0,8.89,0.67,3.62,"acetonitrile solution containing LiI (0.5 M), I2 (0.05 M), and 4-tert-butylpyridine (0.5 M)",TiO2 film (16-18 um thick),0.25,-,-,-,0,0
741.0,11.4,0.74,6.2,"1.0 M 1,3-dimethylimidazolium iodide, 0.03 M iodine, 0.1 M guanidinium thiocyanate, 0.5 M tert-butylpyridine, 0.05 M lithium iodide in acetonitrile and valeronitrile (85:15, v/v)",TiO2 film (6 um thick + 6 um scattering layer),0.16,-,5 mM CDCA,-,1,0
