Formula,A_ion,B_ion,X_ion,Bandgap,ETL,HTL,Backcontact,Antisolvent,Solvent,Solv_annel,Anneal_temp,Dep_procedure,Synth_atm,Cell_area,Is_module,Voc,Jsc,FF,PCE,entry_id
FA0.9MA0.1PbBr0.1I2.9,FA; MA,Pb,Br; I,1.68,SnO2-np,Spiro-MeOTAD,Au,Unknown,DMF; DMSO >> IPA,False,70.0 >> 150.0,Spin-coating >> Spin-coating,Air >> Air,0.0737,False,1.13,23.69,0.8059999999999999,21.52,-ANz0L4yXpTsvZVe0HkXc8Nvcu2e
CsPbBrI2,Cs,Pb,Br; I,,SnO2-np,Aminothiazolium iodide | P3HT,Au,Unknown,DMF; DMSO,False,40; 160,Spin-coating,Unknown,0.1,False,1.185,14.67,0.8079999999999999,13.4,-AsNAiPX7IwMDjlLsI-QLpiSg1V5
MAPbI3,MA,Pb,I,1.53,TiO2-c | TiO2-mp,C12-carbazole,Au,Unknown,DMF >> IPA,False,Unknown >> 100.0,Spin-coating >> Spin-coating,Unknown >> Unknown,0.1,False,0.86,21.13,0.62,11.26,-Av_5bsqxxiutcMlAI3SzT1rAs8d
MAPbI3,MA,Pb,I,1.57,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,Unknown >> Unknown,False,Unknown,Unknown >> Unknown,Unknown >> Unknown,0.1,False,0.94,21.1,0.557,11.1,-B0zs6OXhI_s9fepWfiSn9ZzaTVr
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMF; DMSO,False,100.0,Spin-coating,N2,0.1,False,1.043,15.69,0.66,10.8,-B7fQ2PI0qkQQj25NQWVor2pEaTN
MAPbI3,MA,Pb,I,1.6,TiO2-c | TiO2-mp,none,Carbon,Toluene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.14,False,0.98,18.26,0.632,11.28,-BFgC8f4mXxRR2QcoTs59_lJw8Gk
FA0.85MA0.15PbBr0.45I2.55,FA; MA,Pb,Br; I,,TiO2-c,Spiro-MeOTAD,Au,Toluene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.15,False,1.038,23.2,0.705,14.77,-BPLqBJTUyvIaleWUh9i1D4kPkdf
MAPbI3,MA,Pb,I,1.6,ZnO-nw | ZnO-c,Spiro-MeOTAD,Ag,Unknown,DMF >> IPA,False,70.0 >> 70.0,Spin-coating >> CBD,Unknown,0.07,False,0.95,16.6,0.455,7.19,-BYqqkFrOo1FslOGAtuQGGXuU-IQ
MAPb0.9Sr0.1I3,MA,Pb; Sr,I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Unknown,DMSO; acetonitrile >> IPA,False,40 | 105,Spin-coating >> Spin-coating,Unknown,0.09,False,,,,,-B_4Jh8sq96GWU9dejBCDJzaT9jm
MAPbI3,MA,Pb,I,1.6,PCBM-60,PEDOT:PSS,Al,Unknown,DMF,False,Unknown,Spin-coating,Ar,0.03,False,0.8340000000000001,21.6,0.735,13.22,-Bbyg0ambA1UiV2VXRIYj_7hnZ5e
MAPbI3,MA,Pb,I,1.59,SnO2-c,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO; GBL,False,Unknown,Spin-coating,Air,0.1,False,,,,13.9,-Bcj3Y0UoFxFiNfGTrjVC53pts72
Cs0.125FA0.75MA0.125PbBr0.33I2.67,Cs; FA; MA,Pb,Br; I,,NiO-c,PCBM-60 | bis-C60,Ag,Toluene,DMF; DMSO,False,95.0,Spin-coating,Unknown,0.1,False,1.07,21.3,0.726,16.4,-Bcw_t5NYwM4KGQx8ZvOWXhletst
MAPbI3,MA,Pb,I,1.55,PCBM-60,PEDOT:PSS,Ag,Unknown,GBL,False,80.0,Spin-coating,Air,0.1,False,0.94,19.48,0.68,12.49,-BfVnNeCYAzjsmXmsitGU7jA7Hpi
Cs0.05FA0.81MA0.14PbBr0.45I2.55,Cs; FA; MA,Pb,Br; I,1.63,TiO2-c | TiO2-mp | MXene,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,N2,0.09,False,1.09,23.82,0.7759999999999999,20.14,-BvEGBERwmLfjFIeU2rMIIsGd3cX
Cs0.05FA0.79MA0.16PbBr0.3I2.7,Cs; FA; MA,Pb,Br; I,,TiO2-c | TiO2-mp,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100,Spin-coating,Unknown,0.1,False,1.13,22.56,0.75,19.15,-ByAu9ZMCPb8uHlzmHqCajoTjevk
Cs0.05FA0.79MA0.16PbBr0.51I2.49,Cs; FA; MA,Pb,Br; I,,TiO2-c,Spiro-MeOTAD,Au,Chlorobenzene,DMF; DMSO,False,100.0,Spin-coating,Unknown,0.1,False,1.1,22.68,0.73,18.57,-C1Pb32dqAE1xFdoYcBXUEPUWCD9
MAPbI3,MA,Pb,I,1.6,TiO2-c,Spiro-MeOTAD,Ag,Unknown,DMF,False,100.0,Spin-coating,N2,0.12,False,0.91,20.12,0.5379999999999999,9.85,-C4QYI-CEgyW823QOgjcYan3X9Bs
